district_code,dog_breed,dog_breed_group,dog_count,population,population_density,area_km2,avg_age,dog_size,adaptability,dog_density
90100,Kerry Blue Terrier,Terrier Dogs,2,16.29,5678.38,2.87,49.2,Large,3.0,0.12
90100,Cavalier King Charles Spaniel,Companion Dogs,3,16.29,5678.38,2.87,49.2,Medium,3.8,0.18
90100,Kuvasz,Working Dogs,1,16.29,5678.38,2.87,49.2,Very Large,2.6,0.06
90100,Labradoodle,Hybrid Dogs,5,16.29,5678.38,2.87,49.2,Very Large,3.8,0.31
90100,Labrador Retriever,Sporting Dogs,168,16.29,5678.38,2.87,49.2,Very Large,2.8,10.31
90100,Lagotto Romagnolo,Sporting Dogs,6,16.29,5678.38,2.87,49.2,Large,3.2,0.37
90100,Labradane,Mixed Breed Dogs,13,16.29,5678.38,2.87,49.2,Very Large,2.4,0.8
90100,Leonberger,Working Dogs,11,16.29,5678.38,2.87,49.2,Very Large,2.6,0.68
90100,Lhasa Apso,Companion Dogs,5,16.29,5678.38,2.87,49.2,Medium,4.4,0.31
90100,Chilier,Mixed Breed Dogs,5,16.29,5678.38,2.87,49.2,Small,2.8,0.31
90100,Lowchen,Companion Dogs,9,16.29,5678.38,2.87,49.2,Medium,3.2,0.55
90100,Vizsla,Sporting Dogs,29,16.29,5678.38,2.87,49.2,Very Large,2.2,1.78
90100,Maltese,Companion Dogs,73,16.29,5678.38,2.87,49.2,Small,3.2,4.48
90100,Pug,Companion Dogs,36,16.29,5678.38,2.87,49.2,Medium,3.2,2.21
90100,Norfolk Terrier,Terrier Dogs,1,16.29,5678.38,2.87,49.2,Small,4.0,0.06
90100,Papillon,Companion Dogs,14,16.29,5678.38,2.87,49.2,Small,3.2,0.86
90100,Jack Russell Terrier,Terrier Dogs,55,16.29,5678.38,2.87,49.2,Medium,3.0,3.38
90100,Pekingese,Companion Dogs,20,16.29,5678.38,2.87,49.2,Small,3.6,1.23
90100,Deutscher Wachtelhund,Sporting Dogs,5,16.29,5678.38,2.87,49.2,Very Large,2.8,0.31
90100,Drentsche Patrijshond,Working Dogs,1,16.29,5678.38,2.87,49.2,Very Large,3.2,0.06
90100,Poodle,Companion Dogs,47,16.29,5678.38,2.87,49.2,Large,3.6,2.89
90100,Puli,Herding Dogs,4,16.29,5678.38,2.87,49.2,Large,3.0,0.25
90100,Patterdale Terrier,Terrier Dogs,19,16.29,5678.38,2.87,49.2,Medium,2.4,1.17
90100,Rhodesian Ridgeback,Hound Dogs,15,16.29,5678.38,2.87,49.2,Very Large,2.4,0.92
90100,Rottweiler,Working Dogs,19,16.29,5678.38,2.87,49.2,Very Large,2.0,1.17
90100,Saluki,Hound Dogs,3,16.29,5678.38,2.87,49.2,Very Large,2.2,0.18
90100,Samoyed,Working Dogs,6,16.29,5678.38,2.87,49.2,Very Large,3.0,0.37
90100,Basset Hound,Hound Dogs,2,16.29,5678.38,2.87,49.2,Very Large,3.6,0.12
90100,Giant Schnauzer,Working Dogs,27,16.29,5678.38,2.87,49.2,Very Large,2.4,1.66
90100,Scottish Terrier,Terrier Dogs,5,16.29,5678.38,2.87,49.2,Medium,3.4,0.31
90100,Chinese Shar-Pei,Working Dogs,5,16.29,5678.38,2.87,49.2,Very Large,2.8,0.31
90100,Shollie,Mixed Breed Dogs,7,16.29,5678.38,2.87,49.2,Very Large,2.4,0.43
90100,Shiba Inu,Companion Dogs,11,16.29,5678.38,2.87,49.2,Medium,4.2,0.68
90100,Shih Tzu,Companion Dogs,50,16.29,5678.38,2.87,49.2,Medium,3.8,3.07
90100,Siberian Husky,Working Dogs,7,16.29,5678.38,2.87,49.2,Very Large,2.6,0.43
90100,Skye Terrier,Terrier Dogs,6,16.29,5678.38,2.87,49.2,Large,3.4,0.37
90100,Shih Tzu,Companion Dogs,19,16.29,5678.38,2.87,49.2,Medium,3.8,1.17
90100,Staffordshire Bull Terrier,Terrier Dogs,4,16.29,5678.38,2.87,49.2,Large,2.6,0.25
90100,Irish Terrier,Terrier Dogs,5,16.29,5678.38,2.87,49.2,Large,2.8,0.31
90100,Tibetan Terrier,Companion Dogs,17,16.29,5678.38,2.87,49.2,Medium,3.4,1.04
90100,Poodle,Companion Dogs,36,16.29,5678.38,2.87,49.2,Large,3.6,2.21
90100,Irish Wolfhound,Hound Dogs,4,16.29,5678.38,2.87,49.2,Very Large,2.4,0.25
90100,Goberian,Mixed Breed Dogs,791,16.29,5678.38,2.87,49.2,Very Large,2.6,48.56
90100,Pharaoh Hound,Hound Dogs,1,16.29,5678.38,2.87,49.2,Very Large,3.2,0.06
90100,Weimaraner,Sporting Dogs,29,16.29,5678.38,2.87,49.2,Very Large,2.4,1.78
90100,Deutscher Wachtelhund,Sporting Dogs,6,16.29,5678.38,2.87,49.2,Very Large,2.8,0.37
90100,Corgi Inu,Mixed Breed Dogs,8,16.29,5678.38,2.87,49.2,Medium,3.4,0.49
90100,Welsh Terrier,Terrier Dogs,3,16.29,5678.38,2.87,49.2,Medium,2.6,0.18
90100,Welsh Terrier,Terrier Dogs,6,16.29,5678.38,2.87,49.2,Medium,2.6,0.37
90100,West Highland White Terrier,Terrier Dogs,42,16.29,5678.38,2.87,49.2,Medium,3.6,2.58
90100,Whippet,Hound Dogs,6,16.29,5678.38,2.87,49.2,Large,3.2,0.37
90100,Yorkshire Terrier,Companion Dogs,50,16.29,5678.38,2.87,49.2,Very Small,3.6,3.07
90100,German Pinscher,Working Dogs,24,16.29,5678.38,2.87,49.2,Large,3.2,1.47
90100,Pudelpointer,Working Dogs,14,16.29,5678.38,2.87,49.2,Very Large,2.2,0.86
90100,Giant Schnauzer,Working Dogs,14,16.29,5678.38,2.87,49.2,Very Large,2.4,0.86
90100,German Spitz,Companion Dogs,30,16.29,5678.38,2.87,49.2,Large,3.0,1.84
90100,Doberman Pinscher,Working Dogs,4,16.29,5678.38,2.87,49.2,Very Large,2.8,0.25
90200,Afghan Hound,Hound Dogs,1,96.582,5019.33,19.24,42.3,Very Large,4.0,0.01
90200,Airedale Terrier,Terrier Dogs,19,96.582,5019.33,19.24,42.3,Very Large,2.2,0.2
90200,Akita Pit,Mixed Breed Dogs,16,96.582,5019.33,19.24,42.3,Very Large,2.6,0.17
90200,American Water Spaniel,Sporting Dogs,4,96.582,5019.33,19.24,42.3,Large,2.4,0.04
90200,Alaskan Malamute,Working Dogs,3,96.582,5019.33,19.24,42.3,Very Large,2.4,0.03
